Note;Answer;Output
Wake up;Yes;You went for a morning run around the town. \n
Wake up;No;void
Sure?;I've changed my mind;void
Sure?;Yes;You decided not to follow your routine morning run today, \n so you decided to just make breakfast for all of your housemates. \n But before that, \n you have to ask them what would they like first \n
Finish 1 run;Another run;You went for another run, \n NOW, you're really exhausted. \n You run for a bath, quickly drink water, and make yourself something to eat. \n Once you're done, You hit the sheets, and knockout for 3 hours.\n ... \n It's  12:23 \n You wake up and groggily walk up to see the Calender, to check if you have any work to do today. \n There's a small writing in green pen, \n It says... \n Technology Event Day \n Oh! That place! \n I was looking forward to hang out there with Karczel! \n
Finish 1 run;The kitchen;You’ve made yourself a classic \n sandwich! It’s delicious! \n
Finish 1 run;Omisha’s room;You opened into a room filled with cosmic dust and purplish pieces of furniture \n ---however, the owner of this room is nowhere to be seen. \n You decided to look around in case she brought any critters from outside, again \n There aren't any, thankfully, however, there is \n ... a note? \n What would inconvenience such a deity to left a note in a hurry? \n It says: \n "I needed to clear my mind at a salt lake today, \n crunching has left me burnt out :< \n I'm out of inspirations \n - from The Eliyal Lake" \n
Finish 1 run;Zahur’s room;You knocked on the door, \n Zahur lets you in \n He seems to be working on a painting \n
See Karczel?;Yes;There's still about 12 hours left of this day, better make it count now \n "Hi! I was thinking if you're free today, and... can I hangout with you?" \n "Sure... in tank top and shorts?" \n You begin to fluster, \n You cameout in such a hurry, that you forgot to change into a more appropriate clothes \n " I can lend you mine... but I'm not sure if it'll fit. \n And uhm... actually I have been tailoring a clothing for you, \n Ever since I asked you about your measurements a month ago, \n But.... You might not want to wear it... \n
See Karczel?;No;You decided to invite her next time to something else, \n so you both can enjoy the Holiday to the fullest! \n
Festival;The "Athleticmaton";To the left corner, \n There's a person wearing a suit, that can control the robot's actions! \n It seems to showcase a real-time tracking robot moving range. \n It can even mimicks breakdancing! \n You get in as another interested tester finishes, scanned the QR code to support the creators, and leaves. \n You got to try the big robot that's kept in the back of the stall. \n You gave the hoodie back to Karczel. \n The TV explains as the staffs prepare you in the tracking suit and start up the robot. \n "We're trying to make a robot that can work in movement ranges like humans \n If we're successful, we might be able to replace them as stunts in movies. We're still short of funds though, so your support helps us go a long way." \n ...And you're ready to try it out! \n At first, you just move your hand and play with normal movements \n like twisting your arms, bending, and trying out poses. \n on a closer inspection, they even track flexing, impressive! \n You then start pulling out the big guns \n A back flip \n Front flip \n And a mid-air spin! \n The suit didn't break, and the robot landed perfectly! \n The festival is closing, and it's time to leave. \n You went back the way you came, \n And once you're home, \n It's time for dinner! \n
Festival;Virtual gun game;There's a virtual game set up to the right. It's a gun game, in a virtual environment. This stand is trying to make an upgraded virtual headset, that works with the magnetic mats below, and above. \n You could adjust the magnetic field with your brain's signals, combined with the coding in the game, for an even more immersive experience! \n
Festival T1;Watch the tournament competition;There's a robotic contest going on, \n but it was so crowded you barely get anything out of it. \n We may have to watch it later online. \n
Festival T2;Watch the tournament competition;There's a coding contest going on, \n I heard Karczel had something similar to exercise and tests in college. \n It was around the time she broke her right leg too, \n since then, her performance in college went downhill. \n On the bright side, she'll understand people with broken bone(s), \n and the surgery gave her a cool scar! \n
Festival T3;Watch the tournament competition;There's a gaming contest,\n and even though you don't know much of what’s going on,\n Karczel seems to be having the time of her life. \n
interact Zahur;Give him the toasts you’ve made earlier;"Thank you so much!" \n You left him alone to continue his work. \n
interact Zahur;Tap on;the shoulder	Zahur jolted in surprise. \n You scared me! \n You could see the life left out of him - \n but that's impossible \n - for him. \n
interact Zahur;Head pat;You decided to sneak on Zahur - \n And pat gently. \n Zahur nudges against your hand in familiarity and comfort. \n
interact Zahur;Go back out and close the door quietly;You go back out and close the door quietly. \n
The toast;Yes;You decided to take them with you, \n However, you can't just shove them in your pockets, or else the grease will stay in your shorts till the end of time. \n Your left hand is holding the plate with toasts in it, and you wrapped it in a saran wrapper just in case. \n
The toast;No;You put left the toast on the table. \n
See Omisha?;Yes;You wear a black raincoat and boots, then drive to the Parent's specialized charity school for Chauffeur and Bodyguard to get your flying car, \n You named yours 'Dusk', resembling its fast and unnoticeable presence \n - perfect for a silent escape. \n You zoomed to reach the place \n And found Omisha, stably right in the middle of the air. \n You landed nearby before stepping out into the calm, level sea. \n
See Omisha?;No;"Let's take a ride" \n You drive around a nearby town, as Omisha is admiring the view. \n On your left, you can see a pink sky, overlooking the salt sea below, illustrated with brush strokes of wispy clouds. \n On your right, \n There are buildings built into mountains, and many, many bushes \n wait \n is that a kitten? \n
What you want to do;Do nothing;void
What you want to do;Zahur’s room;You knocked on the door, \n Zahur lets you in \n He seems to be working on a painting \n
What you want to do;The kitchen;You’ve made yourself a classic sandwich! \n It’s delicious! \n
